code,Year,mort,malaria,gdp_pc,pov,edu,water,san
AGO,2003,182.3,318.8979219218,992.698979254665,,,,31.8560605984651
AGO,2004,173.7,312.576593708507,1266.21086410236,,,,33.2903908906274
AGO,2005,164.7,313.800449952085,1916.46842218625,,,,34.7226378362301
AGO,2006,155.2,300.269165186184,2617.05196022633,,,,35.9912829408025
AGO,2007,145.9,271.453265386507,3141.0459797605,,,,37.2593050122209
AGO,2008,136.7,230.123317303415,4103.0669003635,,,,38.5275103563643
AGO,2009,127.7,194.589543104276,3136.64546955947,,,,39.7942707753161
AGO,2010,119.6,170.908986164464,3597.34293216332,,,,41.0607923213848
AGO,2011,111.5,157.305015946173,4615.91059831778,,41.607536315918,,42.3266654473422
AGO,2012,104.3,153.019506046698,5086.02740086376,,41.607536315918,,43.5914724861148
AGO,2013,97.9,157.943958546376,5057.74787833163,,41.607536315918,,44.8547922195447
AGO,2014,92.5,163.708455984916,5005.9997412707,,44.0,,46.1170299677134
AGO,2015,87.9,174.334428812573,3213.90261080059,,43.405158996582,,47.3744826098829
AGO,2016,84.0,190.111380150594,1807.95294072643,,43.405158996582,,48.6279413330122
AGO,2017,80.4,215.567320700563,2437.25971190821,,43.405158996582,,49.8769829625562
AGO,2018,77.1,231.933220718402,2538.59139143371,32.3,43.405158996582,,51.120743995819
AGO,2019,74.2,242.426898679677,2189.85571407618,32.3,70.0272979736328,,51.3936226824603
AGO,2020,71.5,244.013922736435,1449.92286669308,32.3,70.0272979736328,,51.6603294206642
AGO,2021,69.1,246.279653566033,1925.87466082167,32.3,74.3047637939453,,51.9216843631804
AGO,2022,66.9,235.924494396975,2929.69445467272,32.3,74.3047637939453,,52.1772757616933
AGO,2023,66.9,235.924494396975,2308.15976731274,32.3,74.3047637939453,,52.1772757616933
BDI,2003,137.5,376.331432012903,111.406682804391,32.3,74.3047637939453,,45.8472924386413
BDI,2004,131.1,324.093293500902,125.194965184533,32.3,74.3047637939453,,45.8686367474088
